id,source,title,agency,activity_type,posted_date,deadline,award_ceiling,currency,startup_eligible,consortium_eligible,keyword_score,semantic_score,combined_score,matched_topics,high_priority,url
EU-HORIZON-CL6-2026-01-CIRCBIO-07,EU Funding Portal,Advancing the European bio-based innovation enabled by biotechnology and biomanufacturing concepts,HORIZON,Grant,2026-04-17,2026-09-17,,EUR,True,True,50.6,,50.6,Biomanufacturing & Fermentation; Microbiome & Prebiotics,False,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL6-2026-01-CIRCBIO-07
GC-addressing-physiological-barriers-micronutrient-absorption-fortified-foods,Grand Challenges,Addressing Physiological Barriers to Micronutrient Absorption from Fortified Foods,Gates Foundation,Grant,,2026-04-28,250000,USD,False,False,45.6,,45.6,Microbiome & Prebiotics; Inflammatory & Immune,True,https://gcgh.grandchallenges.org/challenge/addressing-physiological-barriers-micronutrient-absorption-fortified-foods
EU-HORIZON-CL6-2027-02-FARM2FORK-07,EU Funding Portal,Towards commercialization of food systems microbiome solutions,HORIZON,Grant,2027-04-20,2027-09-23,,EUR,True,True,36.8,,36.8,Biomanufacturing & Fermentation; Microbiome & Prebiotics,False,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL6-2027-02-FARM2FORK-07
GC-novel-interventions-targeting-placental-and-gut-inflammation-improve-fetal-growth,Grand Challenges,Novel Interventions Targeting Placental and Gut Inflammation to Improve Fetal Growth,Gates Foundation,Grant,,2026-04-28,1000000,USD,False,False,36.5,,36.5,Inflammatory & Immune; Gut Health & GI Diseases; Microbiome & Prebiotics,False,https://gcgh.grandchallenges.org/challenge/novel-interventions-targeting-placental-and-gut-inflammation-improve-fetal-growth
WL-form,Wellcome Leap,Wellcome Leap: FORM | Wellcome Leap: Unconventional Projects. Funded at Scale.,Wellcome Leap,Grant,,,50000000,USD,False,True,31.4,,31.4,Microbiome & Prebiotics; Infant Nutrition & Human Milk,False,https://wellcomeleap.org/form/
EU-HORIZON-CL6-2026-01-CIRCBIO-11,EU Funding Portal,Harnessing the unique properties of marine organisms to deliver sustainable blue bio-based products,HORIZON,Grant,2026-04-17,2026-09-17,,EUR,False,True,22.0,,22.0,Biomanufacturing & Fermentation; Microbiome & Prebiotics,False,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL6-2026-01-CIRCBIO-11
EU-HORIZON-CL6-2026-01-CIRCBIO-10,EU Funding Portal,Bio-based innovation in society: supporting the sustainable way of living,HORIZON,Grant,2026-04-17,2026-09-17,,EUR,True,True,21.4,,21.4,Biomanufacturing & Fermentation,False,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL6-2026-01-CIRCBIO-10
GRANTS-GOV-360874,Grants.gov,Atopic Dermatitis Research Network &ndash; Clinical Research Centers,HHS-NIH11,Grant,2025-11-18,,,USD,False,False,20.0,,20.0,Skin Health,False,https://www.grants.gov/search-results-detail/360874
SBIR-360585,SBIR/STTR,Maternal Medications and Human Milk Research Center (M2HMRC),HHS-NIH11,Grant,2025-09-15,,,USD,True,False,16.7,,16.7,Infant Nutrition & Human Milk,False,https://www.grants.gov/search-results-detail/360585
SBIR-356925,SBIR/STTR,Enhancing Mechanistic Research on Precision Probiotic Therapies (R61/R33 Clinical Trial Optional),HHS-NIH11,Grant,2024-10-31,2027-06-02,,USD,True,False,15.4,,15.4,Microbiome & Prebiotics,False,https://www.grants.gov/search-results-detail/356925
EU-HORIZON-CL6-2027-02-FARM2FORK-03,EU Funding Portal,Microbiome for terrestrial livestock sustainability and health within a One Health approach,HORIZON,Grant,2027-04-20,2027-09-23,,EUR,False,True,15.4,,15.4,Microbiome & Prebiotics,False,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL6-2027-02-FARM2FORK-03
EU-4bdf9e8e-884e-4a5a-ac75-db17bcc84f0b-PIN,EU Funding Portal,Evaluation of microbiome-relevant biomarkers and in vitro models for xenobiotic risk assessment,EFSA/2026/OP/0008,Grant,2026-01-26,,,EUR,False,True,15.4,,15.4,Microbiome & Prebiotics,False,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/4bdf9e8e-884e-4a5a-ac75-db17bcc84f0b-PIN
WL-focused-antibiotics,Wellcome Leap,Wellcome Leap: Focused Antibiotics | Wellcome Leap: Unconventional Projects. Funded at Scale.,Wellcome Leap,Grant,,,50000000,USD,False,False,15.4,,15.4,Microbiome & Prebiotics,False,https://wellcomeleap.org/focused-antibiotics/
SBIR-360583,SBIR/STTR,Biological Testing Facility for Contraception &amp; Reproductive Health,HHS-NIH11,Grant,2025-09-15,,,USD,True,False,15.0,,15.0,Women's Health,False,https://www.grants.gov/search-results-detail/360583
GRANTS-GOV-357341,Grants.gov,Mood and Psychosis Symptoms during the Menopause Transition (R01 Clinical Trial Optional),HHS-NIH11,Grant,2024-11-22,2028-01-07,,USD,False,False,15.0,,15.0,Women's Health,False,https://www.grants.gov/search-results-detail/357341
GRANTS-GOV-352637,Grants.gov,Building Interdisciplinary Research Careers in Women's Health (BIRCWH) (K12 Clinical Trial Optional),HHS-NIH11,Grant,2024-02-26,2026-05-28,,USD,False,False,15.0,,15.0,Women's Health,False,https://www.grants.gov/search-results-detail/352637
